ComplaintNum,PrimaryDesc,SecondaryDesc,Premises,Date,City
209125224,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
223108336,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
228167727,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
235461779,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
251658989,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
265551955,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
322741497,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
334675587,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-24,NY
388570641,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
392384458,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
404733573,Grand Theft Auto,"LARCENY,GRAND OF TRUCK",STREET,2014-12-24,NY
407088964,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
457966519,Grand Theft Auto,"LARCENY,GRAND OF AUTO",RESIDENCE - PUBLIC HOUSING,2014-12-24,NY
473231456,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
482135105,Grand Theft Auto,"LARCENY,GRAND OF TRUCK",STREET,2014-12-24,NY
503328508,Grand Theft Auto,"LARCENY,GRAND OF TRUCK",PARKING LOT/GARAGE (PRIVATE),2014-12-24,NY
520033029,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
559442843,Grand Theft Auto,"LARCENY,GRAND OF AUTO",OTHER,2014-12-24,NY
580049255,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
609199662,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
628128431,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
656174773,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
717933032,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
729653865,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
763244567,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
807455577,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-24,NY
817017077,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-24,NY
860848570,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
861505272,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
885479874,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
932150890,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PUBLIC),2014-12-24,NY
969714116,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
983391762,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
103780138,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PRIVATE),2014-12-23,NY
127418274,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
133331137,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
147113768,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
163485118,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
236588309,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
287966861,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
295421228,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
335153689,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
342058974,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
407821897,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
504785485,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
511924656,Grand Theft Auto,"LARCENY,GRAND OF TRUCK",STREET,2014-12-23,NY
605415721,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
612940236,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
700001094,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
700023696,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
719056206,Grand Theft Auto,"LARCENY,GRAND OF AUTO",OTHER,2014-12-23,NY
762209614,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-23,NY
789423606,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
809570953,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
860018934,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
993589820,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-23,NY
151848690,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
198875675,Grand Theft Auto,"LARCENY, GRAND OF MOPED",STREET,2014-12-22,NY
231467608,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
249996665,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
252446169,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
254977410,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-22,NY
307663115,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
324135167,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
349107670,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PRIVATE),2014-12-22,NY
401601098,Grand Theft Auto,"LARCENY,GRAND OF TRUCK",STREET,2014-12-22,NY
477130796,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
487959278,Grand Theft Auto,"LARCENY,GRAND OF AUTO",RESIDENCE - APT. HOUSE,2014-12-22,NY
552631676,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
612340089,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
614829529,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
754405464,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
791416313,Grand Theft Auto,"LARCENY,GRAND OF AUTO",RESIDENCE - APT. HOUSE,2014-12-22,NY
802229131,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
859785166,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-22,NY
894724443,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
931933444,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
963346782,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-22,NY
999160046,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-22,NY
111742727,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
281048623,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PRIVATE),2014-12-21,NY
284976076,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
306609607,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
348527077,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
378740225,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
428286566,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
437428346,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PRIVATE),2014-12-21,NY
496946038,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
557019812,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
566737139,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
674495678,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
680217155,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
703642102,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
734224528,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PRIVATE),2014-12-21,NY
751688246,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
768457495,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
833801305,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
913499835,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
922273575,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
